,item_material,flat_index,item_id,x,y,x_length,y_length
0,NBSY-0218SD,0,25121,0.0,0.0,2218.0,58.0
1,NBSY-0218SD,0,25264,0.0,58.0,1768.0,58.0
2,NBSY-0218SD,0,25515,0.0,116.0,2384.0,58.0
3,NBSY-0218SD,0,25234,0.0,174.0,1859.0,58.0
4,NBSY-0218SD,0,25403,0.0,232.0,968.0,58.0
5,NBSY-0218SD,0,25584,968.0,232.0,1010.0,58.0
6,NBSY-0218SD,0,25419,0.0,290.0,1918.0,38.0
7,NBSY-0218SD,0,25146,0.0,328.0,2360.0,58.0
8,NBSY-0218SD,0,25712,0.0,386.0,998.0,38.0
9,NBSY-0218SD,1,25423,0.0,0.0,2420.0,38.0
10,NBSY-0218SD,1,25270,0.0,38.0,1688.0,58.0
11,NBSY-0218SD,1,25298,0.0,96.0,2098.0,38.0
12,NBSY-0218SD,1,25532,0.0,134.0,1063.0,58.0
13,NBSY-0218SD,1,25135,1063.0,134.0,1202.0,58.0
14,NBSY-0218SD,1,25124,0.0,192.0,2398.0,38.0
15,NBSY-0218SD,1,25355,0.0,230.0,2410.0,38.0
16,NBSY-0218SD,1,25452,0.0,268.0,1196.8,329.0
17,NBSY-0218SD,1,25564,1196.8,268.0,922.0,329.0
18,NBSY-0218SD,1,25486,0.0,597.0,947.0,58.0
19,NBSY-0218SD,1,25317,947.0,597.0,1183.0,58.0
20,NBSY-0218SD,1,25169,0.0,655.0,2438.0,38.0
21,NBSY-0218SD,1,25728,0.0,693.0,1738.0,58.0
22,NBSY-0218SD,1,25252,0.0,751.0,2355.0,38.0
23,NBSY-0218SD,1,25534,0.0,789.0,1967.0,58.0
24,NBSY-0218SD,1,25438,0.0,847.0,947.0,58.0
25,NBSY-0218SD,1,25414,947.0,847.0,1011.0,58.0
26,NBSY-0218SD,1,25493,0.0,905.0,1736.0,58.0
27,NBSY-0218SD,1,25660,0.0,963.0,2148.0,58.0
28,NBSY-0218SD,1,25139,0.0,1021.0,1954.0,58.0
29,NBSY-0218SD,1,25385,0.0,1079.0,920.5,38.0
30,NBSY-0218SD,1,25130,920.5,1079.0,1220.0,38.0
31,NBSY-0218SD,1,25174,0.0,1117.0,911.0,52.5
32,NBSY-0218SD,1,25598,0.0,1169.5,2438.0,38.0
33,NBSY-0218SD,2,25678,0.0,0.0,2361.0,58.0
34,NBSY-0218SD,2,25583,0.0,58.0,2438.0,38.0
35,NBSY-0218SD,2,25457,0.0,96.0,1480.0,309.0
36,NBSY-0218SD,2,25094,0.0,405.0,2138.0,58.0
37,NBSY-0218SD,2,25495,0.0,463.0,2438.0,38.0
38,NBSY-0218SD,2,25360,0.0,501.0,2418.0,58.0
39,NBSY-0218SD,2,25618,0.0,559.0,1822.0,350.0
40,NBSY-0218SD,2,25248,0.0,909.0,872.0,58.0
41,NBSY-0218SD,2,25642,872.0,909.0,1343.0,58.0
42,NBSY-0218SD,2,25779,0.0,967.0,1062.0,58.0
43,NBSY-0218SD,2,25261,1062.0,967.0,1343.0,58.0
44,NBSY-0218SD,2,25411,0.0,1025.0,2398.0,38.0
45,NBSY-0218SD,2,25392,0.0,1063.0,936.0,58.0
46,NBSY-0218SD,2,25809,936.0,1063.0,1218.0,58.0
47,NBSY-0218SD,2,25762,0.0,1121.0,939.0,58.0
48,NBSY-0218SD,2,25891,939.0,1121.0,1210.0,58.0
49,NBSY-0218SD,2,25129,0.0,1179.0,883.0,38.0
