,item_material,flat_index,item_id,x,y,x_length,y_length
0,YW10-0218S,0,356,0.0,0.0,2418.0,58.0
1,YW10-0218S,0,235,0.0,58.0,2418.0,58.0
2,YW10-0218S,1,542,0.0,0.0,2418.0,58.0
3,YW10-0218S,1,641,0.0,58.0,1551.0,443.0
4,YW10-0218S,1,624,1551.0,58.0,558.0,443.0
5,YW10-0218S,1,85,2109.0,58.0,226.5,443.0
6,YW10-0218S,1,188,0.0,501.0,706.5,350.5
7,YW10-0218S,1,442,706.5,501.0,898.0,350.5
8,YW10-0218S,1,10,0.0,851.5,1568.0,368.0
9,YW10-0218S,1,306,1568.0,851.5,298.0,368.0
10,YW10-0218S,1,266,1866.0,851.5,298.0,368.0
11,YW10-0218S,2,723,0.0,0.0,2416.0,38.0
12,YW10-0218S,2,25,0.0,38.0,2398.0,299.0
13,YW10-0218S,2,350,0.0,337.0,2062.0,58.0
14,YW10-0218S,2,130,0.0,395.0,847.0,58.0
15,YW10-0218S,2,98,847.0,395.0,1462.0,58.0
16,YW10-0218S,2,45,0.0,453.0,438.0,158.0
17,YW10-0218S,2,477,438.0,453.0,338.0,158.0
18,YW10-0218S,2,67,776.0,453.0,338.0,158.0
19,YW10-0218S,2,170,0.0,611.0,2393.0,38.0
20,YW10-0218S,2,128,0.0,649.0,942.0,58.0
21,YW10-0218S,2,177,942.0,649.0,1012.0,58.0
22,YW10-0218S,2,136,0.0,707.0,439.0,245.0
23,YW10-0218S,2,147,0.0,952.0,1798.0,38.0
24,YW10-0218S,2,47,0.0,990.0,548.0,148.0
25,YW10-0218S,2,124,0.0,1138.0,938.0,58.0
26,YW10-0218S,2,158,938.0,1138.0,956.0,58.0
27,YW10-0218S,3,113,0.0,0.0,2398.0,328.0
28,YW10-0218S,3,568,0.0,328.0,738.5,431.0
29,YW10-0218S,3,510,738.5,328.0,767.0,431.0
30,YW10-0218S,3,725,0.0,759.0,536.0,400.0
31,YW10-0218S,3,410,536.0,759.0,259.0,400.0
32,YW10-0218S,3,478,0.0,1159.0,362.0,58.0
33,YW10-0218S,3,0,362.0,1159.0,2001.0,58.0
34,YW10-0218S,4,765,0.0,0.0,2398.0,393.0
35,YW10-0218S,4,246,0.0,393.0,462.0,379.0
36,YW10-0218S,4,423,462.0,393.0,728.0,379.0
37,YW10-0218S,4,388,1190.0,393.0,463.5,379.0
38,YW10-0218S,4,711,1653.5,393.0,462.0,379.0
39,YW10-0218S,4,409,0.0,772.0,1598.0,78.0
40,YW10-0218S,4,210,1598.0,772.0,762.0,78.0
41,YW10-0218S,4,36,0.0,850.0,1198.0,370.0
42,YW10-0218S,4,692,1198.0,850.0,1198.0,370.0
43,YW10-0218S,5,73,0.0,0.0,2388.0,98.0
44,YW10-0218S,5,479,0.0,98.0,2338.0,588.0
45,YW10-0218S,5,713,0.0,686.0,2198.0,58.0
46,YW10-0218S,5,377,0.0,744.0,1998.0,98.0
47,YW10-0218S,5,436,0.0,842.0,844.5,294.0
48,YW10-0218S,5,472,0.0,1136.0,548.0,58.0
49,YW10-0218S,5,747,548.0,1136.0,1462.0,58.0
50,YW10-0218S,6,115,0.0,0.0,2388.0,558.0
51,YW10-0218S,6,77,0.0,558.0,2273.0,576.0
52,YW10-0218S,6,336,0.0,1134.0,841.0,83.0
53,YW10-0218S,6,662,841.0,1134.0,841.0,83.0
54,YW10-0218S,7,304,0.0,0.0,2368.0,328.0
55,YW10-0218S,7,66,0.0,328.0,1755.0,337.0
56,YW10-0218S,7,13,0.0,665.0,2161.0,58.0
57,YW10-0218S,7,162,0.0,723.0,649.5,298.0
58,YW10-0218S,7,631,649.5,723.0,1008.0,298.0
59,YW10-0218S,7,440,0.0,1021.0,1437.0,58.0
60,YW10-0218S,7,299,1437.0,1021.0,898.0,58.0
61,YW10-0218S,7,693,0.0,1079.0,713.0,132.5
62,YW10-0218S,8,61,0.0,0.0,2367.0,218.0
63,YW10-0218S,8,332,0.0,218.0,1797.0,328.0
64,YW10-0218S,8,715,1797.0,218.0,526.0,328.0
65,YW10-0218S,8,371,0.0,546.0,754.0,289.0
66,YW10-0218S,8,488,754.0,546.0,668.4,289.0
67,YW10-0218S,8,18,1422.4,546.0,508.0,289.0
68,YW10-0218S,8,428,0.0,835.0,996.5,360.5
69,YW10-0218S,8,774,996.5,835.0,888.5,360.5
70,YW10-0218S,9,588,0.0,0.0,2353.0,58.0
71,YW10-0218S,9,453,0.0,58.0,2224.0,58.0
72,YW10-0218S,9,640,0.0,116.0,2294.0,38.0
73,YW10-0218S,9,48,0.0,154.0,2353.0,38.0
74,YW10-0218S,9,424,0.0,192.0,1619.5,276.5
75,YW10-0218S,9,351,0.0,468.5,830.0,361.0
76,YW10-0218S,9,647,0.0,829.5,557.0,360.0
77,YW10-0218S,10,212,0.0,0.0,2353.0,328.0
78,YW10-0218S,10,644,0.0,328.0,1638.5,882.0
79,YW10-0218S,10,689,1638.5,328.0,447.0,882.0
80,YW10-0218S,11,8,0.0,0.0,2348.0,630.0
81,YW10-0218S,11,116,0.0,630.0,1480.0,517.0
82,YW10-0218S,11,596,1480.0,630.0,423.0,517.0
83,YW10-0218S,11,276,1903.0,630.0,367.0,517.0
84,YW10-0218S,11,556,0.0,1147.0,488.0,68.0
85,YW10-0218S,12,9,0.0,0.0,2348.0,558.0
86,YW10-0218S,12,448,0.0,558.0,1198.0,370.0
87,YW10-0218S,12,241,1198.0,558.0,518.0,370.0
88,YW10-0218S,12,475,1716.0,558.0,508.0,370.0
89,YW10-0218S,12,474,0.0,928.0,498.5,290.0
90,YW10-0218S,13,758,0.0,0.0,2334.5,311.0
91,YW10-0218S,13,770,0.0,311.0,507.0,415.0
92,YW10-0218S,13,129,0.0,726.0,1458.0,369.0
93,YW10-0218S,13,28,1458.0,726.0,709.0,369.0
94,YW10-0218S,13,50,0.0,1095.0,2048.0,118.0
95,YW10-0218S,14,452,0.0,0.0,2328.5,153.5
96,YW10-0218S,14,60,0.0,153.5,712.0,327.0
97,YW10-0218S,14,96,712.0,153.5,1162.0,327.0
98,YW10-0218S,14,181,1874.0,153.5,248.0,327.0
99,YW10-0218S,14,551,0.0,480.5,841.0,598.0
100,YW10-0218S,14,330,841.0,480.5,1378.0,598.0
101,YW10-0218S,14,71,0.0,1078.5,1462.0,138.0
102,YW10-0218S,15,752,0.0,0.0,2308.0,347.0
103,YW10-0218S,15,757,0.0,347.0,734.0,248.0
104,YW10-0218S,15,231,734.0,347.0,1273.0,248.0
105,YW10-0218S,15,749,0.0,595.0,2134.0,462.0
106,YW10-0218S,15,378,0.0,1057.0,488.0,158.0
107,YW10-0218S,15,481,488.0,1057.0,488.0,158.0
108,YW10-0218S,15,342,976.0,1057.0,488.0,158.0
109,YW10-0218S,15,40,1464.0,1057.0,488.0,158.0
110,YW10-0218S,15,642,1952.0,1057.0,338.0,158.0
111,YW10-0218S,16,252,0.0,0.0,2301.0,632.0
112,YW10-0218S,16,429,0.0,632.0,942.0,392.0
113,YW10-0218S,16,16,942.0,632.0,942.0,392.0
114,YW10-0218S,16,444,0.0,1024.0,579.0,195.0
115,YW10-0218S,17,574,0.0,0.0,2301.0,707.0
116,YW10-0218S,17,277,0.0,707.0,577.0,509.5
